time,T,RH,P,NOx,SO2,CO,O3,EW,NW,DOY,hour
2020-10-02 16:00:00,14.48,60.2,1016.21,8.40427,0.189199,171.7572,29.874871,3.996954539477756,-0.3807057845920814,0.7561643835616438,0.6666666666666666
2020-10-02 16:10:00,14.5,60.0,1016.27,9.57719,0.220708,190.563,28.238595,4.346348241915544,-0.2040870719769763,0.7561643835616438,0.6666666666666666
2020-10-02 16:20:00,14.43,61.5,1016.3,10.005604,0.219538,196.296,27.676077,3.4740641326884507,0.0460182199969741,0.7561643835616438,0.6666666666666666
2020-10-02 16:30:00,14.34,62.6,1016.3,13.098932,0.193852,180.3138,24.837747,3.260190002985204,0.3114542480660417,0.7561643835616438,0.6666666666666666
2020-10-02 16:40:00,14.29,63.0,1016.31,15.001448,0.1646679999999999,187.9266,23.535042,4.232988108527047,-0.3123342119125231,0.7561643835616438,0.6666666666666666
2020-10-02 16:50:00,14.21,62.9,1016.33,13.812624,0.155326,189.5464,24.730208,3.6583696163216,0.6704743560414694,0.7561643835616438,0.6666666666666666
2020-10-02 17:00:00,14.12,63.3,1016.4,12.79775,0.1191349999999999,191.72,24.743054,4.14655477828709,1.0371276357168948,0.7561643835616438,0.7083333333333334
2020-10-02 17:10:00,14.01,64.1,1016.39,12.401144,0.178663,183.894,24.821035,3.843448605987195,0.7414694979447526,0.7561643835616438,0.7083333333333334
2020-10-02 17:20:00,13.9,64.8,1016.4,12.883233999999998,0.1739879999999999,185.5346,24.139097,3.359741786788658,0.4197211673078534,0.7561643835616438,0.7083333333333334
2020-10-02 17:30:00,13.830000000000002,65.1,1016.44,13.067124000000002,0.187991,191.0986,23.668358,3.727151451813556,0.1079977069271397,0.7561643835616438,0.7083333333333334
2020-10-02 17:40:00,13.72,65.8,1016.53,14.231098,0.150635,201.2256,22.480133,3.302642495747263,0.2363372751049496,0.7561643835616438,0.7083333333333334
2020-10-02 17:50:00,13.63,66.0,1016.6,13.915006,0.191486,225.1326,21.995578,3.2463399545838065,0.0433629500245007,0.7561643835616438,0.7083333333333334
2020-10-02 18:00:00,13.43,67.3,1016.65,11.812696,0.141288,197.1878,23.866775,3.652747042538396,1.3387028138339074,0.7561643835616438,0.75
2020-10-02 18:10:00,13.26,68.8,1016.66,12.068154,0.126107,203.0326,22.818691,3.1350694427039154,0.3244056041122553,0.7561643835616438,0.75
2020-10-02 18:20:00,13.169999999999998,70.0,1016.77,13.714218,0.152951,209.3324,21.206097,3.19233661097511,0.5058960196521849,0.7561643835616438,0.75
2020-10-02 18:30:00,13.1,70.5,1016.82,14.803642,0.169288,210.5336,20.822203,3.545790693904609,0.7379782583323082,0.7561643835616438,0.75
2020-10-02 18:40:00,13.0,71.0,1016.85,14.751954,0.130764,226.079,20.903146,3.143877400387902,0.7392035026379815,0.7561643835616438,0.75
2020-10-02 18:50:00,12.91,71.9,1016.9,14.578004000000002,0.119087,215.4164,20.371215,3.0673789394080293,0.3956436136418312,0.7561643835616438,0.75
2020-10-02 19:00:00,12.85,72.0,1016.9,15.341396,0.087565,221.18580000000003,19.388266,3.548391238233644,0.236452132026982,0.7561643835616438,0.7916666666666666
